price_a,price_b,fee,slippage,profit_margin,label
47211.40994354,47008.44654091,0.0749,0.023,-0.005272870717783634,Loss
21417.79027574,21389.08672684,0.0448,0.0755,-0.0025401174559402037,Loss
47159.0429371,47105.94037977,0.0507,0.1812,-0.0034370607329363085,Loss
6992.5720476,6998.07207065,0.0137,0.3059,-0.0024017717200923755,Loss
6042.7066229,6036.34589893,0.0296,0.11,-0.002445214775232154,Loss
28843.19055633,28921.87527433,0.0339,0.3442,-0.0010490165357574456,Neutral
29049.86154872,29084.03500503,0.0267,0.1184,-0.0002742296597081597,Neutral
38365.2804914,38438.87311498,0.0245,0.3962,-0.002279202466800763,Loss
12494.67358433,12484.07074118,0.0155,0.1228,-0.002228507021828459,Loss
4518.35975648,4507.77382261,0.0759,0.0682,-0.0037784262499230723,Loss
1238.54889594,1244.44386059,0.0399,0.2358,0.001997067702570695,Neutral
25159.21867634,25066.69966124,0.0831,0.1582,-0.006075679936506264,Loss
15143.88849831,15207.47525513,0.0291,0.436,-0.00045006726293274254,Neutral
42708.11320445,42549.79424178,0.0112,0.071,-0.0045252799160112114,Loss
41028.05489555,40899.48057744,0.0877,0.4995,-0.00895324118406629,Loss
3848.0495981,3831.78105987,0.0529,0.3315,-0.008040827168038021,Loss
17097.02839778,17072.24493969,0.0179,0.3139,-0.004751810431937033,Loss
43023.89025168,42885.06603617,0.0869,0.2657,-0.006728951145567013,Loss
19007.81742357,19051.24956733,0.0775,0.3792,-0.0022716631437449957,Loss
34021.4053607,33926.09640978,0.0313,0.2835,-0.00593077067129544,Loss
39634.17522717,39706.22249483,0.0478,0.4169,-0.002816106892068862,Loss
14234.48632306,14207.54448768,0.0903,0.2824,-0.005598848765004653,Loss
35553.38645669,35574.08059285,0.0599,0.3464,-0.0034668560752852597,Loss
10717.38128434,10679.98080808,0.0828,0.4326,-0.008599381660017814,Loss
41693.74235539,41606.52047871,0.0284,0.2449,-0.004811814956188655,Loss
21645.37818424,21737.68292375,0.0348,0.4518,-0.0005986781107686721,Neutral
31312.74467788,31169.82309552,0.0391,0.2464,-0.007398204372276279,Loss
5327.97792239,5311.69593682,0.033,0.1184,-0.004563032454350372,Loss
46506.57954186,46584.10872822,0.0155,0.2108,-0.0005945959802825592,Neutral
17685.43470916,17743.95432357,0.0709,0.3383,-0.0007798928743438623,Neutral
9946.31978308,9981.12172847,0.0794,0.1955,0.0007479210890283075,Neutral
17675.13442087,17663.22270783,0.0223,0.3018,-0.0039022776093816016,Loss
